65508.9,65508,65508,65508,65509,65508,65508,65508,65507,65507,65506,65505,65504,65504,65504,65504,65502,65502,65500,65499
65506,65506.6,65506,65506,65506,65506,65506,65506,65506,65505,65504,65503.5,65503,65503,65503,65502,65502,65500,65500,65498
65505.3,65505,65505,65505,65504.7,65504,65504,65504,65504,65503,65503,65503,65502.6,65502,65502,65502,65500,65500,65498,65498
65532,65534,65532,65530,65529,65529.9,65527,65525,65522,65522,65520,65518,65516,65514,65514,65514,65511,65510,65509,65506
65534,65534,65532,65530,65529.1,65527,65527,65525,65524.3,65520,65520,65519,65517.6,65514,65514,65514,65511,65510,65509,65506
65532,65532,65532,65530,65529.9,65527.1,65525,65525,65522.6,65520,65520,65519,65516,65514,65514,65514,65511,65510,65509.6,65506
65530,65530.9,65530,65530,65528,65527,65525,65523,65522,65520,65520,65519,65516,65514,65514,65512,65511,65510,65508.4,65506
65529.3,65528,65528,65528,65528,65526,65525,65523,65520,65520,65520,65517,65516,65514,65512,65512,65510,65509,65508,65506
65528,65528,65526,65526,65526,65526,65524,65522,65521,65520,65519,65517,65516,65514,65513.5,65512,65511.3,65508,65508,65506
65525,65525,65525,65524,65524,65524,65524,65522,65520,65520,65517,65516,65514.6,65514,65512,65512,65510,65508,65506,65506
65522,65523,65522,65522,65522,65522,65522,65522,65520,65518,65517,65515,65514,65513,65511,65511,65508,65508,65506,65504
65522,65521,65522,65522,65522,65522,65522,65520,65520,65518,65517,65514.4,65513,65512,65511,65509,65508,65506,65506,65504
65520,65520,65521,65520,65520,65520,65520,65520,65518,65518,65516,65514,65513,65511,65511,65509,65508,65506.1,65506,65504
65520,65520,65520,65520.3,65519,65519,65518,65518,65518,65516,65516,65514,65512,65511,65510,65508,65508,65506,65505,65504
65519,65519,65518,65518,65519,65517,65516,65516,65516,65516,65514,65514,65512,65511,65509,65508,65506,65506,65504,65503.6
65518,65518,65518,65518,65516,65515,65515,65514,65515.5,65514,65514,65512,65512,65510,65509,65507,65506,65505,65504,65501
65515,65516,65516,65515,65515,65515,65513.2,65513,65513,65513,65511,65510,65510,65510,65508,65506,65506,65504,65503,65501
65514,65514,65514,65513,65513,65513,65512,65512,65512,65510,65510,65508,65508,65508,65508,65506,65504,65503.4,65502,65501
65512,65512,65512,65512,65512,65511,65510,65510,65510,65510,65510,65508,65508,65507,65506,65506,65504,65503,65502,65500
65510,65510,65510,65510,65510,65510,65510,65510,65510,65509,65509,65508,65506,65505,65505,65504,65503.9,65502,65502,65500
65509,65508,65510,65510,65510,65509,65509,65508,65508,65508,65508,65506,65506,65505,65504,65503.6,65502,65502,65500,65500
65507,65507,65507,65507,65507,65507,65507,65506,65507,65507,65507,65504.7,65503,65503,65503,65502,65502,65500,65500,65498
65507,65507,65507,65506,65504.9,65505,65505,65505,65505,65503,65503,65503,65503,65502,65501,65500,65500,65500,65498,65498
